bhsa_lex;book;chapter;verse;scroll;verb_heb;verse_heb;verb_stem;verb_tense;verb_phrase_heb;verb_phrase;verb_clause_heb;verb_clause;subject;complement
<WP[;Isaiah;6;6;MT;יָּ֣עָף ;וַיָּ֣עָף אֵלַ֗י אֶחָד֙ מִן־הַשְּׂרָפִ֔ים וּבְיָדֹ֖ו רִצְפָּ֑ה בְּמֶ֨לְקַחַ֔יִם לָקַ֖ח מֵעַ֥ל הַמִּזְבֵּֽחַ׃ ;qal;wayq;יָּ֣עָף ;J<P;וַיָּ֣עָף אֵלַ֗י אֶחָד֙ מִן־הַשְּׂרָפִ֔ים ;W J<P >LJ >XD MN H FRPJM;>XD MN H FRPJM;>LJ
<LH[;Isaiah;7;1;MT;עָלָ֣ה ;וַיְהִ֡י בִּימֵ֣י אָ֠חָז בֶּן־יֹותָ֨ם בֶּן־עֻזִּיָּ֜הוּ מֶ֣לֶךְ יְהוּדָ֗ה עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ וְלֹ֥א יָכֹ֖ל לְהִלָּחֵ֥ם עָלֶֽיהָ׃ ;qal;perf;עָלָ֣ה ;<LH;עָלָ֣ה רְצִ֣ין מֶֽלֶךְ־אֲ֠רָם וּפֶ֨קַח בֶּן־רְמַלְיָ֤הוּ מֶֽלֶךְ־יִשְׂרָאֵל֙ יְר֣וּשָׁלִַ֔ם לַמִּלְחָמָ֖ה עָלֶ֑יהָ ;<LH RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L JRWCLM L  MLXMH <LJH;RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L;JRWCLM
JY>[;Isaiah;7;3;MT;צֵא־;וַיֹּ֣אמֶר יְהוָה֮ אֶֽל־יְשַׁעְיָהוּ֒ צֵא־נָא֙ לִקְרַ֣את אָחָ֔ז אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;impv;צֵא־;Y>;צֵא־נָא֙ אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;Y> N> >TH W C>R_JCWB BNK >L QYH T<LT H BRKH H <LJWNH >L MSLT FDH KWBS;>TH W C>R_JCWB BNK;
JY>[;Isaiah;7;3;MT;צֵא־;וַיֹּ֣אמֶר יְהוָה֮ אֶֽל־יְשַׁעְיָהוּ֒ צֵא־נָא֙ לִקְרַ֣את אָחָ֔ז אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;impv;צֵא־;Y>;צֵא־נָא֙ אַתָּ֕ה וּשְׁאָ֖ר יָשׁ֣וּב בְּנֶ֑ךָ אֶל־קְצֵ֗ה תְּעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה אֶל־מְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;Y> N> >TH W C>R_JCWB BNK >L QYH T<LT H BRKH H <LJWNH >L MSLT FDH KWBS;>TH W C>R_JCWB BNK;
<LH[;Isaiah;7;6;MT;נַעֲלֶ֤ה ;נַעֲלֶ֤ה בִֽיהוּדָה֙ וּנְקִיצֶ֔נָּה וְנַבְקִעֶ֖נָּה אֵלֵ֑ינוּ וְנַמְלִ֥יךְ מֶ֨לֶךְ֙ בְּתֹוכָ֔הּ אֵ֖ת בֶּן־טָֽבְאַֽל׃ ס ;qal;impf;נַעֲלֶ֤ה ;N<LH;נַעֲלֶ֤ה בִֽיהוּדָה֙ ;N<LH B JHWDH;;B JHWDH
BW>[;Isaiah;7;24;MT;יָ֣בֹוא ;בַּחִצִּ֥ים וּבַקֶּ֖שֶׁת יָ֣בֹוא שָׁ֑מָּה כִּי־שָׁמִ֥יר וָשַׁ֖יִת תִּֽהְיֶ֥ה כָל־הָאָֽרֶץ׃ ;qal;impf;יָ֣בֹוא ;JBW>;בַּחִצִּ֥ים וּבַקֶּ֖שֶׁת יָ֣בֹוא שָׁ֑מָּה ;B  XYJM W B  QCT JBW> CMH;;CMH
BW>[;Isaiah;7;25;MT;תָבֹ֣וא ;וְכֹ֣ל הֶהָרִ֗ים אֲשֶׁ֤ר בַּמַּעְדֵּר֙ יֵעָ֣דֵר֔וּן לֹֽא־תָבֹ֣וא שָׁ֔מָּה יִרְאַ֖ת שָׁמִ֣יר וָשָׁ֑יִת וְהָיָה֙ לְמִשְׁלַ֣ח שֹׁ֔ור וּלְמִרְמַ֖ס שֶֽׂה׃ פ ;qal;impf;תָבֹ֣וא ;TBW>;לֹֽא־תָבֹ֣וא שָׁ֔מָּה יִרְאַ֖ת שָׁמִ֣יר וָשָׁ֑יִת ;L> TBW> CMH JR>T CMJR W CJT;;CMH
<LH[;Isaiah;8;7;MT;מַעֲלֶ֨ה ;וְלָכֵ֡ן הִנֵּ֣ה אֲדֹנָי֩ מַעֲלֶ֨ה עֲלֵיהֶ֜ם אֶת־מֵ֣י הַנָּהָ֗ר הָעֲצוּמִים֙ וְהָ֣רַבִּ֔ים אֶת־מֶ֥לֶךְ אַשּׁ֖וּר וְאֶת־כָּל־כְּבֹודֹ֑ו וְעָלָה֙ עַל־כָּל־אֲפִיקָ֔יו וְהָלַ֖ךְ עַל־כָּל־גְּדֹותָֽיו׃ ;hif;ptca;מַעֲלֶ֨ה ;M<LH;הִנֵּ֣ה אֲדֹנָי֩ מַעֲלֶ֨ה עֲלֵיהֶ֜ם אֶת־מֵ֣י הַנָּהָ֗ר הָעֲצוּמִים֙ וְהָ֣רַבִּ֔ים אֶת־מֶ֥לֶךְ אַשּׁ֖וּר וְאֶת־כָּל־כְּבֹודֹ֑ו ;HNH >DNJ M<LH <LJHM >T MJ H NHR H <YWMJM W H RBJM >T MLK >CWR W >T KL KBWDW;>DNJ;<LJHM
BW>[;Isaiah;14;2;MT;הֱבִיא֣וּם ;וּלְקָח֣וּם עַמִּים֮ וֶהֱבִיא֣וּם אֶל־מְקֹומָם֒ וְהִֽתְנַחֲל֣וּם בֵּֽית־יִשְׂרָאֵ֗ל עַ֚ל אַדְמַ֣ת יְהוָ֔ה לַעֲבָדִ֖ים וְלִשְׁפָחֹ֑ות וְהָיוּ֙ שֹׁבִ֣ים לְשֹֽׁבֵיהֶ֔ם וְרָד֖וּ בְּנֹגְשֵׂיהֶֽם׃ ס ;hif;perf;הֱבִיא֣וּם ;HBJ>WM;וֶהֱבִיא֣וּם אֶל־מְקֹומָם֒ ;W HBJ>WM >L MQWMM;;>L MQWMM
BW>[;Isaiah;16;12;MT;בָ֧א ;וְהָיָ֧ה כִֽי־נִרְאָ֛ה כִּֽי־נִלְאָ֥ה מֹואָ֖ב עַל־הַבָּמָ֑ה וּבָ֧א אֶל־מִקְדָּשֹׁ֛ו לְהִתְפַּלֵּ֖ל וְלֹ֥א יוּכָֽל׃ ;qal;perf;בָ֧א ;B>;וּבָ֧א אֶל־מִקְדָּשֹׁ֛ו ;W B> >L MQDCW;;>L MQDCW
BW>[;Isaiah;19;23;MT;בָֽא־;בַּיֹּ֣ום הַה֗וּא תִּהְיֶ֨ה מְסִלָּ֤ה מִמִּצְרַ֨יִם֙ אַשּׁ֔וּרָה וּבָֽא־אַשּׁ֥וּר בְּמִצְרַ֖יִם וּמִצְרַ֣יִם בְּאַשּׁ֑וּר וְעָבְד֥וּ מִצְרַ֖יִם אֶת־אַשּֽׁוּר׃ ס ;qal;perf;בָֽא־;B>;וּבָֽא־אַשּׁ֥וּר בְּמִצְרַ֖יִם ;W B> >CWR B MYRJM;>CWR;B MYRJM
BW>[;Isaiah;20;1;MT;בֹּ֤א ;בִּשְׁנַ֨ת בֹּ֤א תַרְתָּן֙ אַשְׁדֹּ֔ודָה בִּשְׁלֹ֣ח אֹתֹ֔ו סַֽרְגֹ֖ון מֶ֣לֶךְ אַשּׁ֑וּר וַיִּלָּ֥חֶם בְּאַשְׁדֹּ֖וד וַֽיִּלְכְּדָֽהּ׃ ;qal;infc;בֹּ֤א ;B>;בֹּ֤א תַרְתָּן֙ אַשְׁדֹּ֔ודָה ;B> TRTN >CDWDH;TRTN;>CDWDH
NWS[;Isaiah;20;6;MT;נַ֤סְנוּ ;וְ֠אָמַר יֹשֵׁ֨ב הָאִ֣י הַזֶּה֮ בַּיֹּ֣ום הַהוּא֒ הִנֵּה־כֹ֣ה מַבָּטֵ֗נוּ אֲשֶׁר־נַ֤סְנוּ שָׁם֙ לְעֶזְרָ֔ה לְהִ֨נָּצֵ֔ל מִפְּנֵ֖י מֶ֣לֶךְ אַשּׁ֑וּר וְאֵ֖יךְ נִמָּלֵ֥ט אֲנָֽחְנוּ׃ ס ;qal;perf;נַ֤סְנוּ ;NSNW;אֲשֶׁר־נַ֤סְנוּ שָׁם֙ לְעֶזְרָ֔ה ;>CR NSNW CM L <ZRH;;CM
BW>[;Isaiah;22;15;MT;בֹּא֙ ;כֹּ֥ה אָמַ֛ר אֲדֹנָ֥י יְהוִ֖ה צְבָאֹ֑ות לֶךְ־בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת׃ ;qal;impv;בֹּא֙ ;B>;בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א ;B> >L H SKN H ZH <L CBN>;;>L H SKN H ZH <L CBN>
BW>[;Isaiah;22;15;MT;בֹּא֙ ;כֹּ֥ה אָמַ֛ר אֲדֹנָ֥י יְהוִ֖ה צְבָאֹ֑ות לֶךְ־בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א אֲשֶׁ֥ר עַל־הַבָּֽיִת׃ ;qal;impv;בֹּא֙ ;B>;בֹּא֙ אֶל־הַסֹּכֵ֣ן הַזֶּ֔ה עַל־שֶׁבְנָ֖א ;B> >L H SKN H ZH <L CBN>;;>L H SKN H ZH <L CBN>
NDX[;Isaiah;27;13;MT;נִּדָּחִ֖ים ;וְהָיָ֣ה׀ בַּיֹּ֣ום הַה֗וּא יִתָּקַע֮ בְּשֹׁופָ֣ר גָּדֹול֒ וּבָ֗אוּ הָאֹֽבְדִים֙ בְּאֶ֣רֶץ אַשּׁ֔וּר וְהַנִּדָּחִ֖ים בְּאֶ֣רֶץ מִצְרָ֑יִם וְהִשְׁתַּחֲו֧וּ לַיהוָ֛ה בְּהַ֥ר הַקֹּ֖דֶשׁ בִּירוּשָׁלִָֽם׃ ;nif;ptca;נִּדָּחִ֖ים ;NDXJM;וְהַנִּדָּחִ֖ים בְּאֶ֣רֶץ מִצְרָ֑יִם ;W H NDXJM B >RY MYRJM;;
BW>[;Isaiah;30;29;MT;בֹ֥וא ;הַשִּׁיר֙ יִֽהְיֶ֣ה לָכֶ֔ם כְּלֵ֖יל הִתְקַדֶּשׁ־חָ֑ג וְשִׂמְחַ֣ת לֵבָ֗ב כַּֽהֹולֵךְ֙ בֶּֽחָלִ֔יל לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;qal;infc;לָבֹ֥וא ;L BW>;לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;L BW> B HR JHWH >L YWR JFR>L;;>L YWR JFR>L
BW>[;Isaiah;30;29;MT;בֹ֥וא ;הַשִּׁיר֙ יִֽהְיֶ֣ה לָכֶ֔ם כְּלֵ֖יל הִתְקַדֶּשׁ־חָ֑ג וְשִׂמְחַ֣ת לֵבָ֗ב כַּֽהֹולֵךְ֙ בֶּֽחָלִ֔יל לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;qal;infc;לָבֹ֥וא ;L BW>;לָבֹ֥וא בְהַר־יְהוָ֖ה אֶל־צ֥וּר יִשְׂרָאֵֽל׃ ;L BW> B HR JHWH >L YWR JFR>L;;>L YWR JFR>L
<LH[;Isaiah;36;1;MT;עָלָ֞ה ;וַיְהִ֡י בְּאַרְבַּע֩ עֶשְׂרֵ֨ה שָׁנָ֜ה לַמֶּ֣לֶךְ חִזְקִיָּ֗הוּ עָלָ֞ה סַנְחֵרִ֤יב מֶֽלֶךְ־אַשּׁוּר֙ עַ֣ל כָּל־עָרֵ֧י יְהוּדָ֛ה הַבְּצֻרֹ֖ות וַֽיִּתְפְּשֵֽׂם׃ ;qal;perf;עָלָ֞ה ;<LH;עָלָ֞ה סַנְחֵרִ֤יב מֶֽלֶךְ־אַשּׁוּר֙ עַ֣ל כָּל־עָרֵ֧י יְהוּדָ֛ה הַבְּצֻרֹ֖ות ;<LH SNXRJB MLK >CWR <L KL <RJ JHWDH H BYRWT;SNXRJB MLK >CWR;<L KL <RJ JHWDH H BYRWT
CLX[;Isaiah;36;2;MT;יִּשְׁלַ֣ח ;וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד וַֽיַּעֲמֹ֗ד בִּתְעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה בִּמְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;wayq;יִּשְׁלַ֣ח ;JCLX;וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד ;W JCLX MLK >CWR >T RB_CQH M LKJC JRWCLMH >L H MLK XZQJHW B XJL KBD;MLK >CWR;M LKJC
CLX[;Isaiah;36;2;MT;יִּשְׁלַ֣ח ;וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד וַֽיַּעֲמֹ֗ד בִּתְעָלַת֙ הַבְּרֵכָ֣ה הָעֶלְיֹונָ֔ה בִּמְסִלַּ֖ת שְׂדֵ֥ה כֹובֵֽס׃ ;qal;wayq;יִּשְׁלַ֣ח ;JCLX;וַיִּשְׁלַ֣ח מֶֽלֶךְ־אַשּׁ֣וּר׀ אֶת־רַב־שָׁקֵ֨ה מִלָּכִ֧ישׁ יְרוּשָׁלְַ֛מָה אֶל־הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ בְּחֵ֣יל כָּבֵ֑ד ;W JCLX MLK >CWR >T RB_CQH M LKJC JRWCLMH >L H MLK XZQJHW B XJL KBD;MLK >CWR;M LKJC
JY>[;Isaiah;36;3;MT;יֵּצֵ֥א ;וַיֵּצֵ֥א אֵלָ֛יו אֶלְיָקִ֥ים בֶּן־חִלְקִיָּ֖הוּ אֲשֶׁ֣ר עַל־הַבָּ֑יִת וְשֶׁבְנָא֙ הַסֹּפֵ֔ר וְיֹואָ֥ח בֶּן־אָסָ֖ף הַמַּזְכִּֽיר׃ ;qal;wayq;יֵּצֵ֥א ;JY>;וַיֵּצֵ֥א אֵלָ֛יו אֶלְיָקִ֥ים בֶּן־חִלְקִיָּ֖הוּ וְשֶׁבְנָא֙ הַסֹּפֵ֔ר וְיֹואָ֥ח בֶּן־אָסָ֖ף הַמַּזְכִּֽיר׃ ;W JY> >LJW >LJQJM BN XLQJHW W CBN> H SPR W JW>X BN >SP H MZKJR;>LJQJM BN XLQJHW W CBN> H SPR W JW>X BN >SP H MZKJR;>LJW
<LH[;Isaiah;36;10;MT;עָלִ֛יתִי ;וְעַתָּה֙ הֲמִבַּלְעֲדֵ֣י יְהוָ֔ה עָלִ֛יתִי עַל־הָאָ֥רֶץ הַזֹּ֖את לְהַשְׁחִיתָ֑הּ יְהוָה֙ אָמַ֣ר אֵלַ֔י עֲלֵ֛ה אֶל־הָאָ֥רֶץ הַזֹּ֖את וְהַשְׁחִיתָֽהּ׃ ;qal;perf;עָלִ֛יתִי ;<LJTJ;הֲמִבַּלְעֲדֵ֣י יְהוָ֔ה עָלִ֛יתִי עַל־הָאָ֥רֶץ הַזֹּ֖את ;H M BL<DJ JHWH <LJTJ <L H >RY H Z>T;;<L H >RY H Z>T
<LH[;Isaiah;36;10;MT;עָלִ֛יתִי ;וְעַתָּה֙ הֲמִבַּלְעֲדֵ֣י יְהוָ֔ה עָלִ֛יתִי עַל־הָאָ֥רֶץ הַזֹּ֖את לְהַשְׁחִיתָ֑הּ יְהוָה֙ אָמַ֣ר אֵלַ֔י עֲלֵ֛ה אֶל־הָאָ֥רֶץ הַזֹּ֖את וְהַשְׁחִיתָֽהּ׃ ;qal;perf;עָלִ֛יתִי ;<LJTJ;הֲמִבַּלְעֲדֵ֣י יְהוָ֔ה עָלִ֛יתִי עַל־הָאָ֥רֶץ הַזֹּ֖את ;H M BL<DJ JHWH <LJTJ <L H >RY H Z>T;;<L H >RY H Z>T
JY>[;Isaiah;36;16;MT;צְא֣וּ ;אַֽל־תִּשְׁמְע֖וּ אֶל־חִזְקִיָּ֑הוּ ס כִּי֩ כֹ֨ה אָמַ֜ר הַמֶּ֣לֶךְ אַשּׁ֗וּר עֲשֽׂוּ־אִתִּ֤י בְרָכָה֙ וּצְא֣וּ אֵלַ֔י וְאִכְל֤וּ אִישׁ־גַּפְנֹו֙ וְאִ֣ישׁ תְּאֵנָתֹ֔ו וּשְׁת֖וּ אִ֥ישׁ מֵי־בֹורֹֽו׃ ;qal;impv;צְא֣וּ ;Y>W;וּצְא֣וּ אֵלַ֔י ;W Y>W >LJ;;>LJ
LQX[;Isaiah;36;17;MT;לָקַחְתִּ֥י ;עַד־בֹּאִ֕י וְלָקַחְתִּ֥י אֶתְכֶ֖ם אֶל־אֶ֣רֶץ כְּאַרְצְכֶ֑ם אֶ֤רֶץ דָּגָן֙ וְתִירֹ֔ושׁ אֶ֥רֶץ לֶ֖חֶם וּכְרָמִֽים׃ ;qal;perf;לָקַחְתִּ֥י ;LQXTJ;וְלָקַחְתִּ֥י אֶתְכֶ֖ם אֶל־אֶ֣רֶץ כְּאַרְצְכֶ֑ם אֶ֤רֶץ דָּגָן֙ וְתִירֹ֔ושׁ אֶ֥רֶץ לֶ֖חֶם וּכְרָמִֽים׃ ;W LQXTJ >TKM >L >RY K >RYKM >RY DGN W TJRWC >RY LXM W KRMJM;;>L >RY K >RYKM >RY DGN W TJRWC >RY LXM W KRMJM
BW>[;Isaiah;36;22;MT;יָּבֹ֣א ;וַיָּבֹ֣א אֶלְיָקִ֣ים בֶּן־חִלְקִיָּ֣הוּ אֲשֶׁר־עַל־הַ֠בַּיִת וְשֶׁבְנָ֨א הַסֹּופֵ֜ר וְיֹואָ֨ח בֶּן־אָסָ֧ף הַמַּזְכִּ֛יר אֶל־חִזְקִיָּ֖הוּ קְרוּעֵ֣י בְגָדִ֑ים וַיַּגִּ֣ידוּ לֹ֔ו אֵ֖ת דִּבְרֵ֥י רַב־שָׁקֵֽה׃ ס ;qal;wayq;יָּבֹ֣א ;JB>;וַיָּבֹ֣א אֶלְיָקִ֣ים בֶּן־חִלְקִיָּ֣הוּ וְשֶׁבְנָ֨א הַסֹּופֵ֜ר וְיֹואָ֨ח בֶּן־אָסָ֧ף הַמַּזְכִּ֛יר אֶל־חִזְקִיָּ֖הוּ קְרוּעֵ֣י בְגָדִ֑ים ;W JB> >LJQJM BN XLQJHW W CBN> H SWPR W JW>X BN >SP H MZKJR >L XZQJHW QRW<J BGDJM;>LJQJM BN XLQJHW W CBN> H SWPR W JW>X BN >SP H MZKJR;>L XZQJHW
BW>[;Isaiah;37;1;MT;יָּבֹ֖א ;וַיְהִ֗י כִּשְׁמֹ֨עַ֙ הַמֶּ֣לֶךְ חִזְקִיָּ֔הוּ וַיִּקְרַ֖ע אֶת־בְּגָדָ֑יו וַיִּתְכַּ֣ס בַּשָּׂ֔ק וַיָּבֹ֖א בֵּ֥ית יְהוָֽה׃ ;qal;wayq;יָּבֹ֖א ;JB>;וַיָּבֹ֖א בֵּ֥ית יְהוָֽה׃ ;W JB> BJT JHWH;;BJT JHWH
CLX[;Isaiah;37;2;MT;יִּשְׁלַח ;וַ֠יִּשְׁלַח אֶת־אֶלְיָקִ֨ים אֲשֶׁר־עַל־הַבַּ֜יִת וְאֵ֣ת׀ שֶׁבְנָ֣א הַסֹּופֵ֗ר וְאֵת֙ זִקְנֵ֣י הַכֹּהֲנִ֔ים מִתְכַּסִּ֖ים בַּשַּׂקִּ֑ים אֶל־יְשַֽׁעְיָ֥הוּ בֶן־אָמֹ֖וץ הַנָּבִֽיא׃ ;qal;wayq;יִּשְׁלַח ;JCLX;וַ֠יִּשְׁלַח אֶת־אֶלְיָקִ֨ים וְאֵ֣ת׀ שֶׁבְנָ֣א הַסֹּופֵ֗ר וְאֵת֙ זִקְנֵ֣י הַכֹּהֲנִ֔ים אֶל־יְשַֽׁעְיָ֥הוּ בֶן־אָמֹ֖וץ הַנָּבִֽיא׃ ;W JCLX >T >LJQJM W >T CBN> H SWPR W >T ZQNJ H KHNJM >L JC<JHW BN >MWY H NBJ>;;>L JC<JHW BN >MWY H NBJ>
BW>[;Isaiah;37;5;MT;יָּבֹ֗אוּ ;וַיָּבֹ֗אוּ עַבְדֵ֛י הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ אֶל־יְשַׁעְיָֽהוּ׃ ;qal;wayq;יָּבֹ֗אוּ ;JB>W;וַיָּבֹ֗אוּ עַבְדֵ֛י הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ אֶל־יְשַׁעְיָֽהוּ׃ ;W JB>W <BDJ H MLK XZQJHW >L JC<JHW;<BDJ H MLK XZQJHW;>L JC<JHW
CWB[;Isaiah;37;7;MT;שָׁ֣ב ;הִנְנִ֨י נֹותֵ֥ן בֹּו֙ ר֔וּחַ וְשָׁמַ֥ע שְׁמוּעָ֖ה וְשָׁ֣ב אֶל־אַרְצֹ֑ו וְהִפַּלְתִּ֥יו בַּחֶ֖רֶב בְּאַרְצֹֽו׃ ;qal;perf;שָׁ֣ב ;CB;וְשָׁ֣ב אֶל־אַרְצֹ֑ו ;W CB >L >RYW;;>L >RYW
CLX[;Isaiah;37;9;MT;יִּשְׁלַ֣ח ;וַיִּשְׁמַ֗ע עַל־תִּרְהָ֤קָה מֶֽלֶךְ־כּוּשׁ֙ לֵאמֹ֔ר יָצָ֖א לְהִלָּחֵ֣ם אִתָּ֑ךְ וַיִּשְׁמַע֙ וַיִּשְׁלַ֣ח מַלְאָכִ֔ים אֶל־חִזְקִיָּ֖הוּ לֵאמֹֽר׃ ;qal;wayq;יִּשְׁלַ֣ח ;JCLX;וַיִּשְׁלַ֣ח מַלְאָכִ֔ים אֶל־חִזְקִיָּ֖הוּ ;W JCLX ML>KJM >L XZQJHW;;>L XZQJHW
<LH[;Isaiah;37;14;MT;יַּ֨עַל֙ ;וַיִּקַּ֨ח חִזְקִיָּ֧הוּ אֶת־הַסְּפָרִ֛ים מִיַּ֥ד הַמַּלְאָכִ֖ים וַיִּקְרָאֵ֑הוּ וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה וַיִּפְרְשֵׂ֥הוּ חִזְקִיָּ֖הוּ לִפְנֵ֥י יְהוָֽה׃ ;qal;wayq;יַּ֨עַל֙ ;J<L;וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה ;W J<L BJT JHWH;;BJT JHWH
BW>[;Isaiah;37;33;MT;יָבֹוא֙ ;לָכֵ֗ן כֹּֽה־אָמַ֤ר יְהוָה֙ אֶל־מֶ֣לֶךְ אַשּׁ֔וּר לֹ֤א יָבֹוא֙ אֶל־הָעִ֣יר הַזֹּ֔את וְלֹֽא־יֹורֶ֥ה שָׁ֖ם חֵ֑ץ וְלֹֽא־יְקַדְּמֶ֣נָּה מָגֵ֔ן וְלֹֽא־יִשְׁפֹּ֥ךְ עֳלֶ֖יהָ סֹלְלָֽה׃ ;qal;impf;יָבֹוא֙ ;JBW>;לֹ֤א יָבֹוא֙ אֶל־הָעִ֣יר הַזֹּ֔את ;L> JBW> >L H <JR H Z>T;;>L H <JR H Z>T
BW>[;Isaiah;37;34;MT;בָּ֖א ;בַּדֶּ֥רֶךְ אֲשֶׁר־בָּ֖א בָּ֣הּ יָשׁ֑וּב וְאֶל־הָעִ֥יר הַזֹּ֛את לֹ֥א יָבֹ֖וא נְאֻם־יְהוָֽה׃ ;qal;perf;בָּ֖א ;B>;אֲשֶׁר־בָּ֖א בָּ֣הּ ;>CR B> BH;;
MLV[;Isaiah;37;38;MT;נִמְלְט֖וּ ;וַיְהִי֩ ה֨וּא מִֽשְׁתַּחֲוֶ֜ה בֵּ֣ית׀ נִסְרֹ֣ךְ אֱלֹהָ֗יו וְֽאַדְרַמֶּ֨לֶךְ וְשַׂרְאֶ֤צֶר בָּנָיו֙ הִכֻּ֣הוּ בַחֶ֔רֶב וְהֵ֥מָּה נִמְלְט֖וּ אֶ֣רֶץ אֲרָרָ֑ט וַיִּמְלֹ֛ךְ אֵֽסַר־חַדֹּ֥ן בְּנֹ֖ו תַּחְתָּֽיו׃ ס ;nif;perf;נִמְלְט֖וּ ;NMLVW;וְהֵ֥מָּה נִמְלְט֖וּ אֶ֣רֶץ אֲרָרָ֑ט ;W HMH NMLVW >RY >RRV;HMH;>RY >RRV
