bhsa_lex;book;chapter;verse;scroll;verb_heb;verse_heb;verb_stem;verb_tense;verb_phrase_heb;verb_phrase;verb_clause_heb;verb_clause;subject;complement
BW>[;Isaiah;38;1;MT;יָּבֹ֣וא ;בַּיָּמִ֣ים הָהֵ֔ם חָלָ֥ה חִזְקִיָּ֖הוּ לָמ֑וּת וַיָּבֹ֣וא אֵ֠לָיו יְשַׁעְיָ֨הוּ בֶן־אָמֹ֜וץ הַנָּבִ֗יא וַיֹּ֨אמֶר אֵלָ֜יו כֹּֽה־אָמַ֤ר יְהוָה֙ צַ֣ו לְבֵיתֶ֔ךָ כִּ֛י מֵ֥ת אַתָּ֖ה וְלֹ֥א תִֽחְיֶֽה׃ ;qal;wayq;יָּבֹ֣וא ;JBW>;וַיָּבֹ֣וא אֵ֠לָיו יְשַׁעְיָ֨הוּ בֶן־אָמֹ֜וץ הַנָּבִ֗יא ;W JBW> >LJW JC<JHW BN >MWY H NBJ>;JC<JHW BN >MWY H NBJ>;>LJW
<LH[;Isaiah;38;22;MT;אֶעֱלֶ֖ה ;וַיֹּ֥אמֶר חִזְקִיָּ֖הוּ מָ֣ה אֹ֑ות כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ;qal;impf;אֶעֱלֶ֖ה ;><LH;כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ;KJ ><LH BJT JHWH;;BJT JHWH
CLX[;Isaiah;39;1;MT;שָׁלַ֡ח ;בָּעֵ֣ת הַהִ֡וא שָׁלַ֡ח מְרֹדַ֣ךְ ֠בַּלְאֲדָן בֶּֽן־בַּלְאֲדָ֧ן מֶֽלֶךְ־בָּבֶ֛ל סְפָרִ֥ים וּמִנְחָ֖ה אֶל־חִזְקִיָּ֑הוּ וַיִּשְׁמַ֕ע כִּ֥י חָלָ֖ה וַֽיֶּחֱזָֽק׃ ;qal;perf;שָׁלַ֡ח ;CLX;בָּעֵ֣ת הַהִ֡וא שָׁלַ֡ח מְרֹדַ֣ךְ ֠בַּלְאֲדָן בֶּֽן־בַּלְאֲדָ֧ן מֶֽלֶךְ־בָּבֶ֛ל סְפָרִ֥ים וּמִנְחָ֖ה אֶל־חִזְקִיָּ֑הוּ ;B  <T H HW> CLX MRDK_BL>DN BN BL>DN MLK BBL SPRJM W MNXH >L XZQJHW;MRDK_BL>DN BN BL>DN MLK BBL;>L XZQJHW
BW>[;Isaiah;39;3;MT;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
BW>[;Isaiah;39;3;MT;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
BW>[;Isaiah;39;3;MT;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
NF>[;Isaiah;39;6;MT;נִשָּׂ֣א׀ ;הִנֵּה֮ יָמִ֣ים בָּאִים֒ וְנִשָּׂ֣א׀ כָּל־אֲשֶׁ֣ר בְּבֵיתֶ֗ךָ וַאֲשֶׁ֨ר אָצְר֧וּ אֲבֹתֶ֛יךָ עַד־הַיֹּ֥ום הַזֶּ֖ה בָּבֶ֑ל לֹֽא־יִוָּתֵ֥ר דָּבָ֖ר אָמַ֥ר יְהוָֽה׃ ;nif;perf;נִשָּׂ֣א׀ ;NF>;וְנִשָּׂ֣א׀ כָּל־בָּבֶ֑ל ;W NF> KL BBL;KL;BBL
JRD[;Isaiah;52;4;MT;יָֽרַד־;כִּ֣י כֹ֤ה אָמַר֙ אֲדֹנָ֣י יְהוִ֔ה מִצְרַ֛יִם יָֽרַד־עַמִּ֥י בָרִֽאשֹׁנָ֖ה לָג֣וּר שָׁ֑ם וְאַשּׁ֖וּר בְּאֶ֥פֶס עֲשָׁקֹֽו׃ ;qal;perf;יָֽרַד־;JRD;מִצְרַ֛יִם יָֽרַד־עַמִּ֥י בָרִֽאשֹׁנָ֖ה ;MYRJM JRD <MJ B  R>CNH;<MJ;MYRJM
CLX[;Isaiah;66;19;MT;שִׁלַּחְתִּ֣י ;וְשַׂמְתִּ֨י בָהֶ֜ם אֹ֗ות וְשִׁלַּחְתִּ֣י מֵהֶ֣ם׀ פְּ֠לֵיטִים אֶֽל־הַגֹּויִ֞ם תַּרְשִׁ֨ישׁ פּ֥וּל וְל֛וּד מֹ֥שְׁכֵי קֶ֖שֶׁת תֻּבַ֣ל וְיָוָ֑ן הָאִיִּ֣ים הָרְחֹקִ֗ים אֲשֶׁ֨ר לֹא־שָׁמְע֤וּ אֶת־שִׁמְעִי֙ וְלֹא־רָא֣וּ אֶת־כְּבֹודִ֔י וְהִגִּ֥ידוּ אֶת־כְּבֹודִ֖י בַּגֹּויִֽם׃ ;piel;perf;שִׁלַּחְתִּ֣י ;CLXTJ;וְשִׁלַּחְתִּ֣י מֵהֶ֣ם׀ פְּ֠לֵיטִים אֶֽל־הַגֹּויִ֞ם תַּרְשִׁ֨ישׁ פּ֥וּל וְל֛וּד מֹ֥שְׁכֵי קֶ֖שֶׁת תֻּבַ֣ל וְיָוָ֑ן הָאִיִּ֣ים הָרְחֹקִ֗ים ;W CLXTJ MHM PLJVJM >L H GWJM TRCJC PWL W LWD MCKJ QCT TBL W JWN H >JJM H RXQJM;;>L H GWJM TRCJC PWL W LWD MCKJ QCT TBL W JWN H >JJM H RXQJM
BW>[;Isaiah;66;20;MT;הֵבִ֣יאוּ ;וְהֵבִ֣יאוּ אֶת־כָּל־אֲחֵיכֶ֣ם מִכָּל־הַגֹּויִ֣ם׀ מִנְחָ֣ה׀ לַֽיהוָ֡ה בַּסּוּסִ֡ים וּ֠בָרֶכֶב וּבַצַּבִּ֨ים וּבַפְּרָדִ֜ים וּבַכִּרְכָּרֹ֗ות עַ֣ל הַ֥ר קָדְשִׁ֛י יְרוּשָׁלִַ֖ם אָמַ֣ר יְהוָ֑ה כַּאֲשֶׁ֣ר יָבִיאוּ֩ בְנֵ֨י יִשְׂרָאֵ֧ל אֶת־הַמִּנְחָ֛ה בִּכְלִ֥י טָהֹ֖ור בֵּ֥ית יְהוָֽה׃ ;hif;perf;הֵבִ֣יאוּ ;HBJ>W;וְהֵבִ֣יאוּ אֶת־כָּל־אֲחֵיכֶ֣ם מִכָּל־הַגֹּויִ֣ם׀ מִנְחָ֣ה׀ לַֽיהוָ֡ה בַּסּוּסִ֡ים וּ֠בָרֶכֶב וּבַצַּבִּ֨ים וּבַפְּרָדִ֜ים וּבַכִּרְכָּרֹ֗ות עַ֣ל הַ֥ר קָדְשִׁ֛י יְרוּשָׁלִַ֖ם ;W HBJ>W >T KL >XJKM M KL H GWJM MNXH L JHWH B  SWSJM W B  RKB W B  YBJM W B  PRDJM W B  KRKRWT <L HR QDCJ JRWCLM;;<L HR QDCJ JRWCLM
BW>[;Isaiah;66;20;MT;הֵבִ֣יאוּ ;וְהֵבִ֣יאוּ אֶת־כָּל־אֲחֵיכֶ֣ם מִכָּל־הַגֹּויִ֣ם׀ מִנְחָ֣ה׀ לַֽיהוָ֡ה בַּסּוּסִ֡ים וּ֠בָרֶכֶב וּבַצַּבִּ֨ים וּבַפְּרָדִ֜ים וּבַכִּרְכָּרֹ֗ות עַ֣ל הַ֥ר קָדְשִׁ֛י יְרוּשָׁלִַ֖ם אָמַ֣ר יְהוָ֑ה כַּאֲשֶׁ֣ר יָבִיאוּ֩ בְנֵ֨י יִשְׂרָאֵ֧ל אֶת־הַמִּנְחָ֛ה בִּכְלִ֥י טָהֹ֖ור בֵּ֥ית יְהוָֽה׃ ;hif;perf;הֵבִ֣יאוּ ;HBJ>W;וְהֵבִ֣יאוּ אֶת־כָּל־אֲחֵיכֶ֣ם מִכָּל־הַגֹּויִ֣ם׀ מִנְחָ֣ה׀ לַֽיהוָ֡ה בַּסּוּסִ֡ים וּ֠בָרֶכֶב וּבַצַּבִּ֨ים וּבַפְּרָדִ֜ים וּבַכִּרְכָּרֹ֗ות עַ֣ל הַ֥ר קָדְשִׁ֛י יְרוּשָׁלִַ֖ם ;W HBJ>W >T KL >XJKM M KL H GWJM MNXH L JHWH B  SWSJM W B  RKB W B  YBJM W B  PRDJM W B  KRKRWT <L HR QDCJ JRWCLM;;<L HR QDCJ JRWCLM
<WP[;Isaiah;6;6;1Qisaa;יעוף ;ויעוף אל׳י אחד מן השרפים וביד׳ו רצפה במלקחים לקח מעל המזבח ׃ ;qal;wayq;;;;;>XD MN H FRPJM;>LJ
<LH[;Isaiah;7;1;1Qisaa;עלה ;ויהי בימי אחז בן יותם בן עוזיה מלך יהודה עלה רצין מלך ארם ופקח בן רומליה מלך ישראל ירושלם למלחמה עלי׳ה ולוא יכלו להלחם עלי׳ה ׃ ;qal;perf;;;;;RYJN MLK >RM W PQX BN RMLJHW MLK JFR>L;JRWCLM
JY>[;Isaiah;7;3;1Qisaa;צא ;ויואמר יהוה אל ישעיה צא נא לקראת אחז אתה ושאר ישוב בנ׳ך אל קצה תעלת הברכה העליונה אל מסלת שדה כובס ׃ ;qal;impv;;;;;>TH W C>R_JCWB BNK;
JY>[;Isaiah;7;3;1Qisaa;צא ;ויואמר יהוה אל ישעיה צא נא לקראת אחז אתה ושאר ישוב בנ׳ך אל קצה תעלת הברכה העליונה אל מסלת שדה כובס ׃ ;qal;impv;;;;;>TH W C>R_JCWB BNK;
<LH[;Isaiah;7;6;1Qisaa;נעלה ;נעלה ביהודה ונקיצ׳נה ונבקע׳נה אלי׳נו ונמליך מלך בתוכ׳ה את בן טבאל ׃ ;qal;impf;;;;;;B JHWDH
BW>[;Isaiah;7;24;1Qisaa;יבוא ;בחצים ובקשתות יבוא שמ׳ה כיא שמיר ושית תהיה כול הארץ ׃ ;qal;impf;;;;;;CMH
BW>[;Isaiah;7;25;1Qisaa;תבוא ;וכול ההרים אשר במעדר יעדרו׳ן לוא תבוא שמ׳ה יראת ברזל שמיר ושית תיהיה למשלח שור ולמרמס שה ׃ ;qal;impf;;;;;;CMH
<LH[;Isaiah;8;7;1Qisaa;מעלה ;ולכן הנה אדוני יהוה מעלה עלי׳הם את מי הנהר ה העצומים והרבים את מלך אשור ואת כול כבוד׳ו ועלה על כול אפיקי׳ו והלך על כול גדוותי׳ו ׃ ;hif;ptca;;;;;>DNJ;<LJHM
BW>[;Isaiah;14;2;1Qisaa;הביאו׳ם ;ולקחו׳ם עמים רבים והביאו׳ם אל אדמת׳ם ואל מקומ׳מ והתנחלו׳ם בית ישראל אל אדמת יהוה לעבדים ולשפחות והיו שובים לשובי׳הם ורדים בנוגשי׳הם ׃ ;hif;perf;;;;;;>L MQWMM
BW>[;Isaiah;16;12;1Qisaa;בא ;יהיה כי נראה כי בא מואב על הבמה ובא אל מקדש׳יו להתפלל ולוא יוכל ׃ ;qal;perf;;;;;;>L MQDCW
BW>[;Isaiah;19;23;1Qisaa;בא ;ביום ההוא תהיה מסלה ממצרים אשור׳ה ובא אשור במצרים ומצרים באשור ועבדו את אשור ׃ ;qal;perf;;;;;>CWR;B MYRJM
BW>[;Isaiah;20;1;1Qisaa;בא ;בשנת בא תורתן אשדוד׳ה בשלח אות׳ו סרגון מלכ אשור וילחם באשדוד וילכוד׳ה ׃ ;qal;infc;;;;;TRTN;>CDWDH
NWS[;Isaiah;20;6;1Qisaa;;ואמר יושב האיי הזה ביום ההוא הנה כה מבט׳נו אשר נסמך שמ לעזרה להנצל מפני מלך אשור ואיך נמלט אנחנו ׃ ;;;;;;;;CM
BW>[;Isaiah;22;15;1Qisaa;בוא ;כה אמר אדוני יהוה צבאות לכ בוא אל הסוכן הזה אל שבנא אשר על הבית ׃ ;qal;impv;;;;;;>L H SKN H ZH <L CBN>
BW>[;Isaiah;22;15;1Qisaa;בוא ;כה אמר אדוני יהוה צבאות לכ בוא אל הסוכן הזה אל שבנא אשר על הבית ׃ ;qal;impv;;;;;;>L H SKN H ZH <L CBN>
NDX[;Isaiah;27;13;1Qisaa;נדחים ;והיה ביום ההוא יתקע בשופר גדול ובאו האובדים בארץ אשור והנדחים בארץ מצרים והשתחו ליהוה בהר הקדש בירושלם ׃ ;nif;ptca;;;;;;
BW>[;Isaiah;30;29;1Qisaa;בוא ;השיר והיה ל׳כמה כליל התקדישו חג ושמחת לבב כהולך בחליל לבוא בהר יהוה אל צור ישראל ׃ ;qal;infc;;;;;;>L YWR JFR>L
BW>[;Isaiah;30;29;1Qisaa;בוא ;השיר והיה ל׳כמה כליל התקדישו חג ושמחת לבב כהולך בחליל לבוא בהר יהוה אל צור ישראל ׃ ;qal;infc;;;;;;>L YWR JFR>L
<LH[;Isaiah;36;1;1Qisaa;עלה ;ויהי בארבע עשרה שנה למלכ חזקיה עלה סנחריב מלכ אשור על כול ערי יהודה הבצורות ויתפוש׳ם ׃ ;qal;perf;;;;;SNXRJB MLK >CWR;<L KL <RJ JHWDH H BYRWT
CLX[;Isaiah;36;2;1Qisaa;ישלח ;וישלח מלך אשו את רב שקה מלכיש ירושלים אל המלך חזקיה בחיל כבד מאוד׳ה ויעמוד בתעלת הברכה העליונה במסלת שדי כובס ׃ ;qal;wayq;;;;;MLK >CWR;M LKJC
CLX[;Isaiah;36;2;1Qisaa;ישלח ;וישלח מלך אשו את רב שקה מלכיש ירושלים אל המלך חזקיה בחיל כבד מאוד׳ה ויעמוד בתעלת הברכה העליונה במסלת שדי כובס ׃ ;qal;wayq;;;;;MLK >CWR;M LKJC
JY>[;Isaiah;36;3;1Qisaa;יצא ;ויצא אלי׳ו אליקים בן חלקיה אשר על הבית ושובנא הסופר ויואח בן אספ המזכיר ׃ ;qal;wayq;;;;;>LJQJM BN XLQJHW W CBN> H SPR W JW>X BN >SP H MZKJR;>LJW
<LH[;Isaiah;36;10;1Qisaa;עליתי ;ועתה המבלעדי יהוה עליתי על הארץ הזואת להשחית׳ה יהוה אמר אל׳י עלה אל הארץ הזות להשחית׳ה ׃ ;qal;perf;;;;;;<L H >RY H Z>T
<LH[;Isaiah;36;10;1Qisaa;עליתי ;ועתה המבלעדי יהוה עליתי על הארץ הזואת להשחית׳ה יהוה אמר אל׳י עלה אל הארץ הזות להשחית׳ה ׃ ;qal;perf;;;;;;<L H >RY H Z>T
JY>[;Isaiah;36;16;1Qisaa;צאו ;אל תשמעו אל חוזקיה כיא כוה אמר מלך אשור עשו את׳י ברכה וצאו אל׳י ואכולו איש את גפנ׳ו ואיש את תנת׳ו ושתו איש מי בור׳ו ׃ ;qal;impv;;;;;;>LJ
LQX[;Isaiah;36;17;1Qisaa;לקחתי ;עד בוא׳י ולקחתי את׳כמה אל ארצ כארצ׳כמה אל ארץ דגן ותירוש ארץ לחם וכרמים ׃ ;qal;perf;;;;;;>L >RY K >RYKM >RY DGN W TJRWC >RY LXM W KRMJM
BW>[;Isaiah;36;22;1Qisaa;יבוא ;ויבוא אליקים בן חלקיה אשר על הבית ושובנא הסופר ויואח בן אסף המזכיר אל חוזקיה קרועי בגדים ויגידו ל׳וא את דברי רב שקה ׃ ;qal;wayq;;;;;>LJQJM BN XLQJHW W CBN> H SWPR W JW>X BN >SP H MZKJR;>L XZQJHW
BW>[;Isaiah;37;1;1Qisaa;יבוא ;ויהי כשמוע חוזקיה המלך ויקרע את בגדי׳ו ויתכס בשק ויבוא בית יהוה ׃ ;qal;wayq;;;;;;BJT JHWH
CLX[;Isaiah;37;2;1Qisaa;ישלח ;וישלח את אליקים אשר על הבית ואת שובנא הסופר ואת זקני הכוהנים מתכסים בשקים אל ישעיה בן אמוצ הנביא ׃ ;qal;wayq;;;;;;>L JC<JHW BN >MWY H NBJ>
BW>[;Isaiah;37;5;1Qisaa;יבואו ;ויבואו עבדי המלך יחוזקיה אל ישעיה ׃ ;qal;wayq;;;;;<BDJ H MLK XZQJHW;>L JC<JHW
CWB[;Isaiah;37;7;1Qisaa;שב ;הנ׳ני נותן רוח ב׳וא ושמע שמועה ושב לארצ׳ו והפלתי׳ו בחרב בארצ׳ו ׃ ;qal;perf;;;;;;>L >RYW
CLX[;Isaiah;37;9;1Qisaa;ישלח ;וישמע אל תרהקה מלכ כוש לאמור יצא להלחם את׳כה וישמע וישוב וישלח מלאכים אל יחוזקיה לאמור ׃ ;qal;wayq;;;;;;>L XZQJHW
<LH[;Isaiah;37;14;1Qisaa;יעלה ;ויקח חוזקיה את הספרים מיד המלאכים ויקרא׳מ ויעלה בית יהוה ויפרוש׳ה חוזקיה לפני יהוה ׃ ;qal;wayq;;;;;;BJT JHWH
BW>[;Isaiah;37;33;1Qisaa;יבוא ;לכן כוה אמר יהוה אל מלך אשור לוא יבוא אל העיר הזאות ולוא ישפוך עלי׳הא סוללה ולוא ירא שמ חץ ולוא יקדמ׳נה מגן ׃ ;qal;impf;;;;;;>L H <JR H Z>T
BW>[;Isaiah;37;34;1Qisaa;בא ;בדרך אשר בא ב׳אה ישוב ואל העיר הזואת לוא יבוא נואומ יהוה ׃ ;qal;perf;;;;;;
MLV[;Isaiah;37;38;1Qisaa;נמלטו ;ויהי הואה משתחוה בבית נסרך אלוהי׳ו ואדרמלך ושראוצר בני׳ו הכ׳הו בחרב והמה נמלטו ארץ הוררט וימלוך אסרחודן בנ׳יו תחתי׳ו ׃ ;nif;perf;;;;;HMH;>RY >RRV
BW>[;Isaiah;38;1;1Qisaa;יבוא ;בימים ההמה חלה יחוזקיה למות ויבוא אלי׳ו ישעיה בן אמוץ הנביא ויואמר אלי׳ו כוה אמר יהוה צוי לבית׳כה כיא מית אתה ולוא תחיה ׃ ;qal;wayq;;;;;JC<JHW BN >MWY H NBJ>;>LJW
<LH[;Isaiah;38;22;1Qisaa;אעלה ;ויאמר חזקיה מה אות כי אעלה בית יהוה ׃ ;qal;impf;;;;;;BJT JHWH
CLX[;Isaiah;39;1;1Qisaa;שלח ;בעת ההיא שלח מרודך בלאדון בן בלאדון מלך בבל ספרים ומנחה אל יחוזקיה וישמע כיא חלה ויחיה ׃ ;qal;perf;;;;;MRDK_BL>DN BN BL>DN MLK BBL;>L XZQJHW
BW>[;Isaiah;39;3;1Qisaa;יבוא ;ויבוא ישעיה הנביא אל המלך יחוזקיה ויואמר אלי׳ו מה אמרו האנשים האלה ומאין יבואו אלי׳כה ויואמר יחוזקיה מארץ רחוקה באו אל׳י מבבל ׃ ;qal;wayq;;;;;JC<JHW H NBJ>;>L H MLK XZQJHW
BW>[;Isaiah;39;3;1Qisaa;יבוא ;ויבוא ישעיה הנביא אל המלך יחוזקיה ויואמר אלי׳ו מה אמרו האנשים האלה ומאין יבואו אלי׳כה ויואמר יחוזקיה מארץ רחוקה באו אל׳י מבבל ׃ ;qal;wayq;;;;;JC<JHW H NBJ>;>L H MLK XZQJHW
BW>[;Isaiah;39;3;1Qisaa;יבוא ;ויבוא ישעיה הנביא אל המלך יחוזקיה ויואמר אלי׳ו מה אמרו האנשים האלה ומאין יבואו אלי׳כה ויואמר יחוזקיה מארץ רחוקה באו אל׳י מבבל ׃ ;qal;wayq;;;;;JC<JHW H NBJ>;>L H MLK XZQJHW
NF>[;Isaiah;39;6;1Qisaa;נשאו ;הנה ימים באים ונשאו כול אשר בבית׳כה ואשר אצרו אבותי׳כה עד היום הזה בבל יבואו ולוא יותר דבר אמר יהוה ׃ ;qal;perf;;;;;KL;BBL
JRD[;Isaiah;52;4;1Qisaa;ירד ;כיא כוה אמר יהוה מצרים ירד עמ׳י ברישונה לגור שמ׳ה ואשור באפס עשק׳ו ׃ ;qal;perf;;;;;<MJ;MYRJM
CLX[;Isaiah;66;19;1Qisaa;שלחתי ;ושמתי ב׳המה אותות ושלחתי מ׳המה פליטים אל הגואים תרשיש פול ולוד משוך  קשת תובל ויואן האים הרחוקים אשר לוא שמעו את שמע׳י ולוא ראוו את כבוד׳י והגידו את כבוד׳י בגואים ׃ ;piel;perf;;;;;;>L H GWJM TRCJC PWL W LWD MCKJ QCT TBL W JWN H >JJM H RXQJM
BW>[;Isaiah;66;20;1Qisaa;הביאו ;והביאו את כול כול אחי׳כמה מכל הגואים מנחה ליהוה בסוסים וברכב׳ם ובצובים וב #  #  #  ובפרדים ובכורכובות אל הר קדש׳י ירושלים אמר יהוה כאשר יביאו בני ישראל את המנחה בכלי טהור בית יהוה ׃ ;hif;perf;;;;;;<L HR QDCJ JRWCLM
BW>[;Isaiah;66;20;1Qisaa;הביאו ;והביאו את כול כול אחי׳כמה מכל הגואים מנחה ליהוה בסוסים וברכב׳ם ובצובים וב #  #  #  ובפרדים ובכורכובות אל הר קדש׳י ירושלים אמר יהוה כאשר יביאו בני ישראל את המנחה בכלי טהור בית יהוה ׃ ;hif;perf;;;;;;<L HR QDCJ JRWCLM
